epoch,state,action,reason,old_lr,new_lr,reward,q_value,exploration_rate,dice_score,val_loss
1,insufficient_data,maintain,default,0.0001,0.0001,0,0.08471370477523686,0.2,0.7139656707619834,0.2867926685729257
2,insufficient_data,maintain,default,0.0001,0.0001,0.013535677132534563,0.08522013544073795,0.19,0.7069483804952098,0.27005095261287165
3,oscillating,maintain,default,0.0001,0.0001,2.2235675159690342,0.09531580657516225,0.1805,0.7346701158440329,0.2807809201167109
4,oscillating,maintain,default,0.0001,0.0001,2.0661419852266,0.30097684703207067,0.171475,0.7415313203855252,0.28127493215437555
5,oscillating,maintain,default,0.0001,0.0001,2.2507241853586715,0.5230394970976171,0.16290124999999997,0.7569158219997751,0.26189909831114117
6,mixed,increase,rl_policy_increase,0.0001,0.00012,2.043036010455679,0.09043111501411477,0.15475618749999998,0.7619077782602585,0.263275808740972
7,oscillating,maintain,in_cooldown_4,0.00012,0.00012,-0.14482725128006996,0.6831779487846936,0.14701837812499996,0.7479781474639439,0.2643819974043568
8,oscillating,maintain,in_cooldown_3,0.00012,0.00012,2.364746081120318,0.6831779487846936,0.14701837812499996,0.7824997741839677,0.26047603462034086
9,oscillating,maintain,in_cooldown_2,0.00012,0.00012,2.023187799052453,0.6831779487846936,0.14701837812499996,0.7894795551896039,0.2697980368211227
10,oscillating,maintain,in_cooldown_1,0.00012,0.00012,2.080858918778759,0.6831779487846936,0.14701837812499996,0.7931506620472757,0.2609684667807145
11,mixed,maintain,in_cooldown_0,0.00012,0.00012,2.1318509638822705,0.052724201675650395,0.14701837812499996,0.7970585888631901,0.24241412763608933
12,mixed,increase,rl_policy_increase,0.00012,0.000144,2.3417965659381976,1.2704198457857419,0.14701837812499996,0.8438789362445822,0.2676955092112339
13,mixed,maintain,in_cooldown_4,0.000144,0.000144,2.1679686135887626,0.052724201675650395,0.13966745921874996,0.844768826684238,0.23588156737279306
14,oscillating,maintain,in_cooldown_3,0.000144,0.000144,-0.038549008540633145,0.6831779487846936,0.13966745921874996,0.8427172684903218,0.23948825269308724
15,oscillating,maintain,in_cooldown_2,0.000144,0.000144,-0.008572776650112163,0.6831779487846936,0.13966745921874996,0.8395923712514869,0.23495301354543985
16,oscillating,maintain,in_cooldown_1,0.000144,0.000144,2.3536469173441485,0.6831779487846936,0.13966745921874996,0.8596850658788452,0.2044090193313267
17,oscillating,maintain,in_cooldown_0,0.000144,0.000144,2.333604056176711,0.6831779487846936,0.13966745921874996,0.8917146531416802,0.20174738262165448
18,oscillating,maintain,default,0.000144,0.000144,1.889199745009635,0.6831779487846936,0.13966745921874996,0.8887007438614448,0.21787961505925674
19,oscillating,maintain,default,0.000144,0.000144,2.1579344194186816,0.8921396112387149,0.13268408625781244,0.8942165700561122,0.19732438356485518
20,oscillating,decrease,rl_policy_decrease,0.000144,7.2e-05,2.0096196040974132,0.0867610064556367,0.1260498819449218,0.9024914037785227,0.2119501301901934
1,insufficient_data,decrease,rl_policy_decrease,0.0001,5e-05,0,0.090735870161725,0.2,0.6917330385853552,0.300916100456087
2,insufficient_data,maintain,in_cooldown_4,5e-05,5e-05,2.3109816838221953,0.015721624194107275,0.19,0.7209154434796684,0.2970845734802744
3,improving,maintain,in_cooldown_3,5e-05,5e-05,2.1988329258059887,0.0010909993310615374,0.19,0.7390634417193822,0.2936139847985043
4,oscillating,maintain,in_cooldown_2,5e-05,5e-05,1.9420272770878308,0.03292316755284639,0.19,0.737789450558861,0.30266054705989576
5,oscillating,maintain,in_cooldown_1,5e-05,5e-05,2.479962407191927,0.03292316755284639,0.19,0.7718497650879634,0.27478869467971523
6,oscillating,maintain,in_cooldown_0,5e-05,5e-05,1.682821304179138,0.03292316755284639,0.19,0.7452801791314674,0.2850852619308955
7,oscillating,decrease,rl_policy_decrease,5e-05,2.5e-05,2.3081047462954882,0.06797920364637218,0.19,0.766233737053861,0.26537142851658513
8,oscillating,maintain,in_cooldown_4,2.5e-05,2.5e-05,2.1222628748251213,0.03292316755284639,0.1805,0.7746597809044284,0.2577709412526958
9,oscillating,maintain,in_cooldown_3,2.5e-05,2.5e-05,2.3793888527665215,0.03292316755284639,0.1805,0.8102447160519195,0.2530630409943736
10,oscillating,maintain,in_cooldown_2,2.5e-05,2.5e-05,1.901800388189352,0.03292316755284639,0.1805,0.8013981462761202,0.25500982380490456
11,oscillating,maintain,in_cooldown_1,2.5e-05,2.5e-05,2.078934809630386,0.03292316755284639,0.1805,0.807018323438474,0.250463216203535
12,oscillating,maintain,in_cooldown_0,2.5e-05,2.5e-05,2.18042052581577,0.03292316755284639,0.1805,0.8149245179476247,0.23019150005868236
13,oscillating,decrease,rl_policy_decrease,2.5e-05,1.25e-05,2.0929241875158486,1.3078312553340277,0.1805,0.8280642501342289,0.23788612692872116
14,mixed,maintain,in_cooldown_4,1.25e-05,1.25e-05,2.09070690444749,0.0476757783217652,0.171475,0.8377991280969515,0.2392145019646682
15,mixed,maintain,in_cooldown_3,1.25e-05,1.25e-05,2.2346353900363556,0.0476757783217652,0.171475,0.8507479719986424,0.21818511176077895
16,mixed,maintain,in_cooldown_2,1.25e-05,1.25e-05,2.1721617522040595,0.0476757783217652,0.171475,0.8662960381841492,0.2148488936909808
17,oscillating,maintain,in_cooldown_1,1.25e-05,1.25e-05,1.821213916780624,0.03292316755284639,0.171475,0.8492666671774695,0.21654736832149646
18,oscillating,maintain,in_cooldown_0,1.25e-05,1.25e-05,2.3486144363162564,0.03292316755284639,0.171475,0.8791586429315056,0.20660843256631745
19,oscillating,increase,rl_policy_increase,1.25e-05,1.5e-05,2.2606572716480713,0.04979804372511246,0.171475,0.8996804483493193,0.19552058907233053
20,oscillating,maintain,in_cooldown_4,1.5e-05,1.5e-05,-0.14342272823353,0.03292316755284639,0.16290124999999997,0.8879424209209926,0.20072907986238325
1,insufficient_data,increase,rl_policy_increase,0.0001,0.00012,0,0.08973042847913643,0.2,0.7064529131003181,0.2905421875771463
2,insufficient_data,maintain,in_cooldown_4,0.00012,0.00012,2.604095625527725,0.06787494423438392,0.19,0.7253939652943431,0.28960315112138624
3,improving,maintain,in_cooldown_3,0.00012,0.00012,2.835899861295674,0.057866335367673084,0.19,0.7417895776927615,0.2642109711910281
4,oscillating,maintain,in_cooldown_2,0.00012,0.00012,1.529551671987147,0.0012477007869722834,0.19,0.7370131364274926,0.3088675833596789
5,oscillating,maintain,in_cooldown_1,0.00012,0.00012,3.157731487174116,0.0012477007869722834,0.19,0.7613106799589928,0.25524320640801745
6,oscillating,maintain,in_cooldown_0,0.00012,0.00012,1.7490283598041731,0.0012477007869722834,0.19,0.7658133994423597,0.2825917301692836
