epoch,train_loss,val_loss,dice_score,auroc,auprc,ppv,nne,learning_rate,batch_size,train_samples,val_samples,optimizer_type,loss_function,augmentations,model_architecture,dropout_rate,weight_decay,num_epochs,patch_size,gradient_clipping
1,1.8806701451539993,1.7606009721755982,0.004101085942238569,0.43939690494015093,0.14211213853837296,0.048618251635622445,20.56840726183792,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
2,1.6724053770303726,1.6157444059848785,0.004101085942238569,0.5927469042186291,0.2486367178423617,0.2724722682646946,3.6700982686008423,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
3,1.5407817274332047,1.4922292411327363,0.004101085942238569,0.7893595240469051,0.35142268583507785,0.45469183786785117,2.199291732812309,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
4,1.420244464278221,1.375145936012268,0.004101085942238569,0.8619798653365829,0.43466647981205997,0.5487644057106817,1.8222756242816842,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
5,1.309235841035843,1.2689409375190734,0.004101085942238569,0.9383163014983222,0.5801034633269169,0.6727545242589097,1.4864262727947852,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
6,1.206976705789566,1.1722200453281402,0.004101085942238569,0.9684778801331476,0.642635114270253,0.7422089691866924,1.3473294469828265,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
7,1.1145639568567276,1.083928894996643,0.004101085942238569,0.9838158601139382,0.6924577099054887,0.7769516728624535,1.2870813397129188,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
8,1.0329759314656257,1.0039491415023805,0.004101085942238569,0.9934815282917461,0.7797976978721168,0.7931490194005392,1.2607971207677953,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
9,0.9572201624512673,0.9327211797237396,0.004101085942238569,0.996170406978901,0.8093291437244343,0.8020505950847545,1.246804136956382,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
10,0.8926242828369141,0.8755116552114487,0.004101085942238569,0.9946016462928654,0.8314037525255384,0.8545096220728031,1.1702618369285036,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
11,0.844243848323822,0.83042671084404,0.004101085942238569,0.9990009614035756,0.8859049162941115,0.8502229123879177,1.176162139869204,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
12,0.8078207120299339,0.7964803904294968,0.004101085942238569,0.9997216445351502,0.9187809886597876,0.8444873060016148,1.1841504222658947,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
13,0.779304426908493,0.7714834958314896,0.004101085942238569,0.999787554308919,0.9351395484949336,0.8555395941820794,1.168852975128555,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
14,0.7604047149419785,0.7485028386116028,0.004101085942238569,0.9998729542015449,0.9484801073170044,0.8373682236759865,1.19421775477707,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
15,0.7391037225723267,0.7292821347713471,0.004101085942238569,0.9998655111975719,0.956616143490696,0.8674159276494864,1.1528494786921752,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
16,0.7251240685582161,0.7139444947242737,0.004101085942238569,0.9999014382367999,0.9619983344590205,0.8589400314505504,1.164225630875804,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
17,0.7072404459118843,0.6967382699251174,0.004101085942238569,0.9999239519390108,0.9654746875809281,0.8246861592245351,1.2125824943398045,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
18,0.6941353037953377,0.682363486289978,0.004101085942238569,0.999920708033352,0.9710707914456793,0.8940456514941707,1.1185111166625032,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
19,0.680483715236187,0.6675081491470337,0.004101085942238569,0.9999443941021807,0.9761644625254411,0.8816026797217212,1.1342978225924303,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
20,0.6680811151862145,0.653317904472351,0.004101085942238569,0.9999444942278528,0.9786108725451078,0.8901060835678718,1.1234615945906505,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
21,0.656183372437954,0.638052785396576,0.004101085942238569,0.9999455918185758,0.9784222026856844,0.8960851287440883,1.1159654009676,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
22,0.6438582614064217,0.6215189605951309,0.004101085942238569,0.9999594375757356,0.98183093080634,0.8783749684582387,1.1384659580580294,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
23,0.6295083284378051,0.6071320742368698,0.004101085942238569,0.9999555924335476,0.9819875529998876,0.9207714596160811,1.0860458255482348,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
24,0.6184340253472328,0.5906410366296768,0.004101085942238569,0.9999668597772928,0.9853854288543213,0.9205726263211881,1.0862803991861254,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
25,0.6067914336919784,0.5739117920398712,0.004101085942238569,0.9999687219548445,0.986031878856593,0.9173184851297008,1.0901339242701609,0.0001,4,160,40,Adam,DiceCE,All,UNet,0.0,1e-05,30,64,1.0
