epoch,train_loss,val_loss,dice_score,auroc,auprc,ppv,nne,learning_rate,batch_size,train_samples,val_samples,optimizer_type,loss_function,augmentations,model_architecture,dropout_rate,weight_decay,num_epochs,patch_size,gradient_clipping
1,0.5601160764694214,0.17395227178931236,0.7860109622129136,0.9199254208777241,0.791447025518099,0.7340738348939835,1.3622607869471635,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
2,0.18223564326763153,0.2941271625459194,0.6613131712728951,0.9896185409006715,0.7467376461971829,0.4941759196110083,2.02357087894358,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
3,0.19984116023406387,0.25909914299845693,0.6631673487648763,0.990044418704805,0.7480367861124304,0.49607357222486087,2.0158300219764955,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
4,0.17054122015833856,0.10390538387000561,0.8620075410867349,0.9956275440032654,0.8782278318227368,0.7589419171711986,1.3176238884357532,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
5,0.06960252095013857,0.036022387957200405,0.9573842356357282,0.972087918090396,0.9580868735820214,0.9703701816514229,1.0305345515647975,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
6,0.02825178634375334,0.025738291395828127,0.9738992122677913,0.9946818932506633,0.9742576829871017,0.9581149319355644,1.043716120757893,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
7,0.022212412068620326,0.020576728880405425,0.9804254272713684,0.9941803594616202,0.9806042552252366,0.9720779632419991,1.0287240713336177,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
8,0.01916632647626102,0.017137913359329106,0.9843489333975834,0.9944778858532206,0.984476460061624,0.9793844809043721,1.0210494647378845,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
9,0.01782564336899668,0.01647173073142767,0.9846781217829538,0.9933495285915495,0.9848082968292564,0.9823203274269436,1.017997869004061,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
10,0.016452489793300627,0.016105897072702647,0.9850724997356087,0.9969494154895221,0.9852128251873613,0.9759382242390013,1.0246550193069455,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
11,0.015044579934328794,0.016979104140773416,0.982887311123006,0.9952456641704743,0.9830396360424495,0.9749149597614482,1.0257304906313982,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
12,0.014686032431200147,0.013068447960540653,0.9888908472991753,0.9939315250567101,0.9890062664442383,0.9897188459665477,1.010387954190578,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
13,0.012936641811393201,0.012421764433383942,0.9891416201523523,0.9946146642699185,0.9892431384457063,0.9888351247372388,1.0112909371678398,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
14,0.012500016228295862,0.0124571900581941,0.988727436978798,0.9966385077720913,0.9888127317719303,0.9839067811597335,1.0163564467167279,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
15,0.011506911739706993,0.016165175987407566,0.9826377418049939,0.9976998865519234,0.9828532736258873,0.9696183825446959,1.0313335823683227,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
16,0.011924533767160028,0.011728864489123225,0.9897694707460171,0.9929595772854007,0.9899177250595108,0.9935220081774649,1.006520229817977,0.3,4,160,40,SGD,Dice,Flipping,UNet,0.0,0.0,30,64,0.0
