epoch,state,action,reason,old_lr,new_lr,reward,q_value,exploration_rate,dice_score,val_loss
1,insufficient_data,increase,rl_policy_increase,0.0002,0.00024,0,0.0832619845547938,0.2,0.12893382670773765,0.9535604923963547
2,insufficient_data,increase,rl_policy_increase,0.00024,0.000288,3.026614409571205,0.38509080566636633,0.19,0.21778416633605957,0.9453242212533951
3,improving,decrease,rl_policy_decrease,0.000288,0.000144,2.8597805500030518,0.07151893663724194,0.19,0.26878032088279724,0.9348442435264588
4,oscillating,decrease,rl_policy_decrease,0.000144,7.2e-05,0.49581532960451935,0.07917250380826646,0.1805,0.2541275844679618,0.9279363423585891
5,oscillating,decrease,rl_policy_decrease,7.2e-05,3.6e-05,0.46102538985322666,0.07917250380826646,0.1805,0.24229530010149475,0.9259176611900329
6,oscillating,decrease,rl_policy_decrease,3.6e-05,1.8e-05,0.5030546831408319,0.12868624708426699,0.171475,0.2389603615618144,0.9239447236061096
7,oscillating,maintain,default,1.8e-05,1.8e-05,-0.49494940570419854,0.038344151882577775,0.171475,0.23897126815596006,0.9234451174736023
8,oscillating,maintain,default,1.8e-05,1.8e-05,0.4953058923639897,0.09105172589458937,0.16290124999999997,0.23704991174335155,0.922953850030899
9,oscillating,maintain,default,1.8e-05,1.8e-05,0.49894754546685083,0.14003596318232858,0.15475618749999998,0.23586512331322318,0.9224667012691498
10,oscillating,maintain,default,1.8e-05,1.8e-05,0.5011150624174208,0.18874710979224738,0.14701837812499996,0.23514439161412076,0.9219948291778565
11,oscillating,increase,rl_policy_increase,1.8e-05,2.16e-05,0.505257407339231,0.05288949197529045,0.13966745921874996,0.2352530646923033,0.9215234249830246
12,oscillating,maintain,in_cooldown_0,2.16e-05,2.16e-05,0.4994878304470383,0.237385379428248,0.13268408625781244,0.2341870203710205,0.9210416197776794
13,oscillating,maintain,default,2.16e-05,2.16e-05,0.5051206843132232,0.237385379428248,0.13268408625781244,0.23423709216828134,0.9205545872449875
14,oscillating,maintain,default,2.16e-05,2.16e-05,0.5069989711135032,0.28571142274531586,0.1260498819449218,0.2347198570101837,0.9200960725545884
15,oscillating,decrease,rl_policy_decrease,2.16e-05,1.08e-05,0.5036737846627037,0.07790444404300445,0.11974738784767572,0.23439765669785134,0.9195675939321518
16,plateau,increase,rl_policy_increase,1.08e-05,1.296e-05,-0.4927993465404805,0.09636627605010294,0.11376001845529193,0.2348056137561798,0.9190515071153641
17,plateau,increase,rl_policy_increase,1.296e-05,1.5552e-05,-0.5007478296756747,0.09636627605010294,0.11376001845529193,0.23392656445503235,0.9186867654323578
18,oscillating,maintain,in_cooldown_0,1.5552e-05,1.5552e-05,0.5571452379226689,0.33322168698413307,0.10807201753252733,0.24455466866493225,0.9182862937450409
19,oscillating,maintain,default,1.5552e-05,1.5552e-05,0.5523270070552828,0.33322168698413307,0.10807201753252733,0.25422245264053345,0.9178874850273132
20,oscillating,maintain,default,1.5552e-05,1.5552e-05,0.5212773680686951,0.38201720692116126,0.10266841665590096,0.2576831877231598,0.9174901157617569
21,improving,decrease,rl_policy_decrease,1.5552e-05,7.776e-06,0.5549629032611842,0.16219475547710896,0.0975349958231059,0.267844021320343,0.9170742422342301
22,improving,decrease,rl_policy_decrease,7.776e-06,3.888e-06,1.5645300447940835,0.3170258124017462,0.09265824603195061,0.27988681197166443,0.9166426330804824
23,improving,decrease,rl_policy_decrease,3.888e-06,1.944e-06,1.5195338726043692,0.46580894153816566,0.09265824603195061,0.2835332453250885,0.9165124624967576
24,improving,decrease,rl_policy_decrease,1.944e-06,1e-06,1.5227080583572392,0.6134216579585079,0.08802533373035308,0.2878108024597168,0.9163804352283478
25,mixed,decrease,rl_policy_decrease,1e-06,1e-06,1.5042961239814754,0.09255966382926611,0.08802533373035308,0.2886008620262146,0.9163458526134491
26,mixed,decrease,rl_policy_decrease,1e-06,1e-06,1.5039668083190927,0.24203074802288274,0.08362406704383542,0.2893264889717102,0.9163119852542877
27,mixed,decrease,rl_policy_decrease,1e-06,1e-06,1.5062744915485382,0.3902378896975077,0.07944286369164365,0.2905104458332062,0.9162765145301819
28,mixed,decrease,rl_policy_decrease,1e-06,1e-06,1.5074779689311977,0.5370833076936524,0.07547072050706147,0.2919386029243469,0.9162427961826325
29,mixed,decrease,rl_policy_decrease,1e-06,1e-06,1.5098569989204411,0.68269817450876,0.07169718448170839,0.29383277893066406,0.916204184293747
30,improving,decrease,rl_policy_decrease,1e-06,1e-06,1.5055353045463558,0.7108394743054386,0.06811232525762297,0.2948720455169678,0.9161702871322632
31,mixed,maintain,default,1e-06,1e-06,1.5032402575016022,0.056804456109393234,0.06470670899474182,0.2954546809196472,0.9161375790834427
32,mixed,decrease,rl_policy_decrease,1e-06,1e-06,2.507523149251938,0.828957440200009,0.061471373545004725,0.29688674211502075,0.9161012947559357
33,mixed,decrease,rl_policy_decrease,1e-06,1e-06,1.5060560405254373,0.9712734698505527,0.058397804867754484,0.29802489280700684,0.916064766049385
34,mixed,decrease,rl_policy_decrease,1e-06,1e-06,1.5048055350780487,1.112041288659852,0.055477914624366756,0.2989186644554138,0.9160310983657837
35,mixed,decrease,rl_policy_decrease,1e-06,1e-06,1.5017677247524261,1.2510976482484961,0.052704018893148415,0.2992066740989685,0.9159983307123184
36,mixed,decrease,rl_policy_decrease,1e-06,1e-06,1.5067985653877258,1.3892665283047838,0.05006881794849099,0.30049386620521545,0.9159620702266693
37,mixed,decrease,rl_policy_decrease,1e-06,1e-06,1.5030431151390076,1.5256781745356367,0.05,0.3010369539260864,0.915929302573204
38,mixed,decrease,rl_policy_decrease,1e-06,1e-06,1.5063013434410095,1.6610515271343813,0.05,0.30222439765930176,0.9158928900957107
39,mixed,decrease,rl_policy_decrease,1e-06,1e-06,1.5084931850433345,1.7952903303673708,0.05,0.3038543462753296,0.9158585458993912
40,mixed,decrease,rl_policy_decrease,1e-06,1e-06,1.5076914727687836,1.9281065743405754,0.05,0.30531930923461914,0.9158218801021576
41,improving,decrease,rl_policy_decrease,1e-06,1e-06,1.5076526403427124,0.8646857222430557,0.05,0.30677714943885803,0.9157855361700058
42,improving,decrease,rl_policy_decrease,1e-06,1e-06,1.5095243155956268,1.006991296580188,0.05,0.3086065351963043,0.9157477974891662
43,improving,decrease,rl_policy_decrease,1e-06,1e-06,1.5108375549316406,1.14800513910755,0.05,0.31069886684417725,0.9157102078199386
