epoch,train_loss,val_loss,dice_score,auroc,auprc,ppv,nne,learning_rate,batch_size,train_samples,val_samples,optimizer_type,loss_function,augmentations,model_architecture,dropout_rate,weight_decay,num_epochs,patch_size,gradient_clipping,agent_action,agent_reward
1,0.9642420217394829,0.9535604923963547,0.12893382670773765,0.8181850758430791,0.46713862283775315,0.06967832075848511,14.35166618705036,0.0002,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,increase,0
2,0.9495638146996498,0.9453242212533951,0.21778416633605957,0.8980835864445496,0.5260903559032577,0.11789370616745942,8.482217011479586,0.000288,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,increase,3.026614409571205
3,0.9391525104641915,0.9348442435264588,0.26878032088279724,0.9461400741136233,0.5769805756376505,0.15408278794485697,6.490017563531361,0.000288,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,2.8597805500030518
4,0.9314108207821846,0.9279363423585891,0.2541275844679618,0.9424600709290882,0.5727676396433639,0.14555960662063905,6.87003780249437,7.2e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,0.49581532960451935
5,0.9265826910734176,0.9259176611900329,0.24229530010149475,0.9386978382454131,0.5689166220683337,0.1378478405370141,7.254375520895344,7.2e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,0.46102538985322666
6,0.924554780125618,0.9239447236061096,0.2389603615618144,0.9375731028986671,0.567844002180102,0.13569286982698617,7.36958398237903,1.8e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,0.5030546831408319
7,0.9232966542243958,0.9234451174736023,0.23897126815596006,0.937576846512281,0.5678475190326842,0.13569990353215045,7.369201996249591,1.8e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,maintain,-0.49494940570419854
8,0.9227895572781563,0.922953850030899,0.23704991174335155,0.9369120390764726,0.5672286452891858,0.1344621560451538,7.43703677980732,1.8e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,maintain,0.4953058923639897
9,0.9223071306943893,0.9224667012691498,0.23586512331322318,0.9364966924387578,0.5668476938844856,0.13370025323575332,7.479417396739724,1.8e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,maintain,0.49894754546685083
10,0.9217922568321228,0.9219948291778565,0.23514439161412076,0.9362419808579328,0.5666162033523369,0.13323727217145595,7.505407336118029,1.8e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,maintain,0.5011150624174208
11,0.9213339954614639,0.9215234249830246,0.2352530646923033,0.9362804865979621,0.5666510957591423,0.13330705698506679,7.501478335929517,1.8e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,increase,0.505257407339231
12,0.9208590611815453,0.9210416197776794,0.2341870203710205,0.9359012147823456,0.5663089992103644,0.1326228638875109,7.5401779956146004,1.8e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,increase,0.4994878304470383
13,0.9203651323914528,0.9205545872449875,0.23423709216828134,0.9359191063383187,0.5663250581422932,0.13265498175136847,7.5383523995674135,1.8e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,maintain,0.5051206843132232
14,0.919845275580883,0.9200960725545884,0.2347198570101837,0.9360912153278436,0.5664799363024962,0.1329647380717745,7.520790959330879,1.8e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,maintain,0.5069989711135032
15,0.9193878322839737,0.9195675939321518,0.23439765669785134,0.935976427383135,0.5663765602374391,0.13275798594166047,7.532503547014058,1.8e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,0.5036737846627037
16,0.9188707411289215,0.9190515071153641,0.2348056137561798,0.9358249811960249,0.5662406612618847,0.13248618799055145,7.547956622250443,1.296e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,-0.4927993465404805
17,0.9183832794427872,0.9186867654323578,0.23392656445503235,0.9358023745400824,0.56622092102661,0.1324418420532201,7.550483929377564,1.296e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,increase,-0.5007478296756747
18,0.9180408284068108,0.9182862937450409,0.24455466866493225,0.9357918243562614,0.5662114810055734,0.13242296201114676,7.5515604304019766,1.296e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,increase,0.5571452379226689
19,0.917601178586483,0.9178874850273132,0.25422245264053345,0.9344989163454047,0.5650746467169714,0.1301492934339427,7.683483894651724,1.296e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,maintain,0.5523270070552828
20,0.9171974033117294,0.9174901157617569,0.2576831877231598,0.9339768524105129,0.5646265918681275,0.129253183736255,7.736753332440383,1.296e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,maintain,0.5212773680686951
21,0.9167888507246971,0.9170742422342301,0.267844021320343,0.9322466222638439,0.5631847688782595,0.12636953775651896,7.913299500443994,1.296e-05,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,0.5549629032611842
22,0.9163373246788978,0.9166426330804824,0.27988681197166443,0.9307224853393771,0.5619669548922105,0.12393390978442106,8.068816692214963,3.888e-06,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,1.5645300447940835
23,0.9160354226827622,0.9165124624967576,0.2835332453250885,0.9306234497428624,0.5618894458291195,0.12377889165823888,8.078921911508639,3.888e-06,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,1.5195338726043692
24,0.915906035900116,0.9163804352283478,0.2878108024597168,0.9300050728395387,0.561409831470943,0.1228196629418861,8.142018761874997,1e-06,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,1.5227080583572392
25,0.9158089250326157,0.9163458526134491,0.2886008620262146,0.9299315132629424,0.5613532727893629,0.12270654557872573,8.149524504040599,1e-06,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,1.5042961239814754
26,0.9157742902636528,0.9163119852542877,0.2893264889717102,0.9299705051865579,0.5613832400206824,0.12276648004136492,8.145545915001067,1e-06,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,1.5039668083190927
27,0.9157341092824935,0.9162765145301819,0.2905104458332062,0.9297304277316785,0.5611991919407812,0.12239838388156236,8.170042514349213,1e-06,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,1.5062744915485382
28,0.915719285607338,0.9162427961826325,0.2919386029243469,0.9297591611816245,0.5612211614038114,0.12244232280762282,8.16711066132881,1e-06,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,1.5074779689311977
29,0.9156777873635292,0.916204184293747,0.29383277893066406,0.9292385071791327,0.5608255025416001,0.12165100508320022,8.220236234925265,1e-06,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,1.5098569989204411
30,0.9156275421380997,0.9161702871322632,0.2948720455169678,0.9290772400835807,0.5607039866437317,0.12140797328746332,8.23669132201271,1e-06,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,decrease,1.5055353045463558
31,0.9155929520726204,0.9161375790834427,0.2954546809196472,0.9291695663466055,0.5607734956540615,0.12154699130812296,8.227270697840549,1e-06,4,160,40,Adam,Dice,Flipping,UNet,0.0,1e-05,50,64,1.0,maintain,1.5032402575016022
