epoch,train_loss,val_loss,dice_score,auroc,auprc,ppv,nne,learning_rate,batch_size,train_samples,val_samples,optimizer_type,loss_function,augmentations,model_architecture,dropout_rate,weight_decay,num_epochs,patch_size,gradient_clipping,agent_action,agent_reward
1,1.7751221865415574,1.6026549696922303,0.3559275269508362,0.9636947032595972,0.6073476730946559,0.21643718329735387,4.620278201579358,0.002,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,increase,0
2,1.5010303646326064,1.3732640445232391,0.6914481728610616,0.9885926170348064,0.762271614367388,0.5299633587301923,1.8869229042476243,0.0028799999999999997,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,increase,6.471512481241039
3,1.0172330245375634,0.5056373864412308,0.8972939441203148,0.9964952756597939,0.9064522454538501,0.8154393991012475,1.2263327000169106,0.0028799999999999997,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,decrease,12.20549543711635
4,0.277599847689271,0.15893771573901178,0.9607860139992579,0.9940044438002201,0.9616914451468725,0.9337949892077405,1.0708988713340921,0.0007199999999999999,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,decrease,6.2844570564169056
5,0.13501156773418188,0.12456749901175498,0.9723744286687356,0.9958141505508302,0.9728491122405093,0.9529672318536864,1.0493540245395707,0.0007199999999999999,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,decrease,2.901644240619956
6,0.11313192546367645,0.10969827324151993,0.9770616428649307,0.9956647546089646,0.9773618791914418,0.9624841779005578,1.03897811824946,0.00017999999999999998,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,decrease,2.672128328683326
7,0.10354101341217756,0.1055947195738554,0.978936328706731,0.9951343166786047,0.979166891508343,0.9672327217614046,1.0338773466833542,0.00017999999999999998,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,maintain,1.5504089658856466
8,0.10082574430853128,0.10283500850200653,0.9795548635233942,0.995885494995956,0.9797925951129575,0.9670050270688322,1.0341207873874054,0.00017999999999999998,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,decrease,2.5306897848018046
9,0.09726206418126822,0.09970211312174797,0.9810263637298661,0.9952664939675773,0.9812133751361429,0.9711456667460614,1.0297116428996882,4.4999999999999996e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,decrease,1.538686454834945
10,0.09573069326579571,0.09889677949249745,0.9827872636115933,0.9935523057295486,0.9829297936578287,0.9780816398726465,1.0224095405064626,4.4999999999999996e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,decrease,1.516857835701141
11,0.09502689428627491,0.09783624298870564,0.9820613465546714,0.9949714604979382,0.9822237006514731,0.9737988284584131,1.0269061440370235,2.6999999999999996e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,decrease,-0.49302422024669146
12,0.09445188473910093,0.09754142127931117,0.9820848467557263,0.9950205340381322,0.9822475143857098,0.9737491465912416,1.026958538038933,2.6999999999999996e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,decrease,-0.4969342819007809
13,0.09376834370195866,0.09702388532459735,0.9822439792376615,0.994948405706962,0.9824029423242417,0.974210831938555,1.0264718551836751,1.6199999999999997e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,decrease,-0.4940289780431857
14,0.09392389003187418,0.09679899029433728,0.9827880245657616,0.9943372419233103,0.9829329438299439,0.976516394446213,1.0240483474597524,1.6199999999999997e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,decrease,1.5049691769431015
15,0.09331434648483991,0.09652413874864578,0.9822366479785133,0.9951475214941724,0.9823985858144632,0.973803150642854,1.0269015861571738,4.049999999999999e-06,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,decrease,-0.5000083674793268
16,0.09274063538759947,0.09648266769945621,0.9821740701676925,0.995219162760939,0.9823382245551241,0.9735364641207088,1.027182891298471,4.049999999999999e-06,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,30,64,1.0,increase,-0.4998981785622081
