epoch,train_loss,val_loss,dice_score,auroc,auprc,ppv,nne,learning_rate,batch_size,train_samples,val_samples,optimizer_type,loss_function,augmentations,model_architecture,dropout_rate,weight_decay,num_epochs,patch_size,gradient_clipping
1,0.7798152978603656,0.7473830809959998,0.05179312452673912,0.8084154680632467,0.14366470135336365,0.13404310283883578,7.460286869085173,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
2,0.7394758795316403,0.704086613196593,0.05179312452673912,0.9755906147832147,0.5356296427884211,0.25898716231945024,3.8611952462977306,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
3,0.7063677769440871,0.6711655878103696,0.05179312452673912,0.9880370189992967,0.6925223944775336,0.334392908350421,2.990494041674078,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
4,0.681485442014841,0.643552683866941,0.05179312452673912,0.9910714276414151,0.7750287539012298,0.40793833959648906,2.451350860988322,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
5,0.6600477878863995,0.6222419165647947,0.05179312452673912,0.9899503402625844,0.7828434875477204,0.4456192131717885,2.2440684118673646,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
6,0.6394028010276648,0.5958799536411579,0.05179312452673912,0.9925708359719488,0.8199489836679672,0.4839800490320399,2.0662008733624453,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
7,0.6161438123537943,0.569890015400373,0.05179312452673912,0.9929011191910909,0.8372453111585579,0.49921163956879033,2.0031584216741845,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
8,0.5959225870095767,0.5454659393200507,0.05179312452673912,0.9907748668591358,0.836038998388745,0.532235038318868,1.8788691611860562,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
9,0.5747839189492739,0.519398142512028,0.05179312452673912,0.9894971343376974,0.8506126954734945,0.569875507245203,1.7547692211480241,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
10,0.5470614146727782,0.49018758764633763,0.05179312452673912,0.990542450533358,0.8590587331680939,0.5843817119275869,1.7112102921590298,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
11,0.5259313222307426,0.4493467418047098,0.05179312452673912,0.9912475212246065,0.8635484531001305,0.6002123018458942,1.6660771479101608,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
12,0.4889296872111467,0.39202554065447587,0.05179312452673912,0.9906409073251947,0.8612509421903206,0.6358299029560228,1.5727476725314773,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
13,0.4444591339964133,0.3424411920400766,0.05179312452673912,0.987116619949332,0.8661852190874127,0.6846644430823225,1.460569495179352,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
14,0.40906048164917874,0.30430939335089463,0.05179312452673912,0.9918295456521671,0.873800070432002,0.6395272476224866,1.5636550338044404,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
15,0.3681221168774825,0.2686384538045296,0.05179312452673912,0.9902880682820916,0.884060445631004,0.6895965527714193,1.450123258274857,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
16,0.3485372863136805,0.2464357201869671,0.05179312452673912,0.9897652614110339,0.884873781510146,0.7072312588772635,1.4139646508095665,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
17,0.32653770595788956,0.23019802971528128,0.05179312452673912,0.9901309194923378,0.8780210531486123,0.7144926095170572,1.3995946027712227,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
18,0.305755885461202,0.2121305574591343,0.05179312452673912,0.9875043983384427,0.8849544096099037,0.7594794859436989,1.3166912582996761,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
19,0.292418596549676,0.197757428082136,0.05179312452673912,0.9885647012035654,0.8964127129729045,0.7794244716070717,1.2829979509600593,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
20,0.2819716532069903,0.1910901012328955,0.05179312452673912,0.9891586419467817,0.892595223637793,0.7718882843461823,1.2955242620984158,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
21,0.27586672684321034,0.18490438621777755,0.05179312452673912,0.9870214959139122,0.892758824118292,0.7872214026159193,1.2702906662306463,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
22,0.26183372793289333,0.1790871969782389,0.05179312452673912,0.9860949607264181,0.8888589237910333,0.7780633394130326,1.285242408098029,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
23,0.2590641428071719,0.1745477611055741,0.05179312452673912,0.9900047349216621,0.8992677688116786,0.7676860523464942,1.3026158244550874,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
24,0.25007843942596364,0.16447916798866713,0.05179312452673912,0.9821712427271589,0.896422105912941,0.8217156420951144,1.216966002314763,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
25,0.2421298210437481,0.16480471480351228,0.05179312452673912,0.9850085636689965,0.8851197808306481,0.8007697167553091,1.248798473613569,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
26,0.24432163227062959,0.16012464463710785,0.05179312452673912,0.9870493904854623,0.8949457248197537,0.7965372466308211,1.2554340732084808,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
27,0.23662583243388396,0.15675626293970987,0.05179312452673912,0.9796545164087356,0.8873463696963392,0.8374082178998701,1.1941607194969888,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
28,0.23634858601368391,0.15305158954400283,0.05179312452673912,0.9893906217157742,0.905466391244638,0.7886462331515638,1.2679956588441825,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
29,0.23867526593116614,0.15212963636104876,0.05179312452673912,0.9857816484357972,0.8981274632950921,0.8109608559034183,1.2331051403042017,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
30,0.23277223310791528,0.1473613828420639,0.05179312452673912,0.9832697043740583,0.9008212737370365,0.8206989512614471,1.2184735931037318,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
31,0.22127034429174203,0.14551948784635618,0.05179312452673912,0.9841163436015358,0.9022286724592679,0.8297862122509745,1.2051296891126737,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
32,0.21868327632546425,0.1452361517227613,0.05179312452673912,0.9893812472901446,0.9050811749448923,0.7908432853246544,1.2644730233619967,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
33,0.22568981005595282,0.14536022394895554,0.05179312452673912,0.9821835126809797,0.8929428066596842,0.828158566414974,1.2074982262502125,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
34,0.22211383999540255,0.14031749104078,0.05179312452673912,0.9871868005405837,0.9097572213392208,0.816939136480283,1.2240813976772127,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
35,0.21666105807973787,0.13965221379811948,0.05179312452673912,0.9815100593211825,0.9028747144653226,0.8420745412093308,1.1875433243283513,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
36,0.21151495209107032,0.1408330941429505,0.05179312452673912,0.9824499911542417,0.8943690768878654,0.8283029309720951,1.2072877719102135,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
37,0.21075925316948158,0.13599569952258697,0.05179312452673912,0.9890501796920133,0.9095122185255978,0.8011090509545392,1.248269506889827,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
38,0.2080922109576372,0.13516711758879515,0.05179312452673912,0.9832704421308931,0.9086034757178744,0.8376878495224698,1.19376209237135,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
39,0.20779480097385553,0.13453735984288728,0.05179312452673912,0.9866234835684627,0.9110479201526793,0.8121929077009834,1.2312345878895061,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
40,0.20135476612127745,0.13125008058089477,0.05179312452673912,0.9848447059808638,0.9109387270252215,0.8388803709659325,1.1920650841413127,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
41,0.20460054622246668,0.13317476241634443,0.05179312452673912,0.98323302978154,0.90992777800956,0.8441549276660424,1.1846166707393928,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
42,0.21208322334748048,0.13209332009920707,0.05179312452673912,0.9789459487763619,0.9056214975004032,0.8593511541563964,1.1636686529870028,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
43,0.2022411791751018,0.13087487879853982,0.05179312452673912,0.9832552690992813,0.9094230337979641,0.8370813844714686,1.1946269724196505,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
