epoch,train_loss,val_loss,dice_score,lr,lambda_ce,lambda_dice,class_weights,threshold,include_background,normalization_type
39,0.5965281814336777,0.5978847146034241,0.4027012884616852,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,batch_norm
1,0.7858861491084099,0.7174412965774536,0.3214151859283447,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
2,0.6890964671969414,0.6740524590015411,0.34448614716529846,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
40,0.5963643819093705,0.5979752779006958,0.40250787138938904,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,batch_norm
41,0.5961515039205552,0.5977003574371338,0.40269288420677185,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,batch_norm
3,0.6632951527833939,0.655034464597702,0.391564279794693,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
42,0.5959383875131607,0.5989421963691711,0.40162888169288635,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
4,0.6430079832673072,0.633969783782959,0.39498370885849,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
5,0.6156974703073501,0.6022345423698425,0.4009679853916168,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
43,0.5958643972873687,0.5976787447929383,0.4027101397514343,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
6,0.6011680409312248,0.6015218377113343,0.40108823776245117,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
44,0.5956523507833481,0.5996349573135376,0.40086430311203003,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
45,0.5954826980829239,0.5980993866920471,0.4023791253566742,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
7,0.6005668357014656,0.6003551244735718,0.40142154693603516,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
8,0.5991793915629386,0.5991878271102905,0.4018968641757965,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
46,0.5953755229711533,0.6004547595977783,0.40006351470947266,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
9,0.5981943503022193,0.5984403848648071,0.4021713137626648,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
47,0.5952546030282975,0.5985828518867493,0.4020318388938904,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
10,0.5977327689528465,0.5984152495861054,0.40225300192832947,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
48,0.5951812088489532,0.6006181597709656,0.3998298943042755,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
11,0.5977026805281639,0.5984085083007813,0.4023141860961914,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
49,0.5951014131307601,0.5995706677436828,0.4007567763328552,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
50,0.5950507879257202,0.6006778001785278,0.39976149797439575,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
12,0.5976618558168412,0.5983354330062867,0.40232139825820923,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
13,0.5974426567554474,0.59818195104599,0.40240463614463806,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
51,0.5950000286102295,0.6004654288291931,0.39992308616638184,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
14,0.5971048384904861,0.5981840312480926,0.4023357331752777,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
52,0.594958844780922,0.6004836797714234,0.3999785780906677,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
